Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute9,Attribute11,Attribute12,Attribute13,Attribute15,Attribute14_1.0,Attribute14_2.0,Attribute14_3.0,Attribute14_4.0,Attribute14_5.0,Attribute14_6.0,Attribute14_7.0,Attribute14_8.0,Attribute16_Yes,Y
0.41666666666666663,0.3691860465116279,0.36286919831223624,0.0,0.06146572104018914,0.362962962962963,0.44339622641509435,0.3333333333333333,0.43749999999999994,0.6563039723661497,0.3574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.9166666666666666,0.6715116279069768,0.7531645569620252,0.0,0.11820330969267141,0.2,0.7735849056603773,0.125,0.34374999999999994,0.44732297063903204,0.6702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.6666666666666666,0.3808139534883721,0.47046413502109696,0.0,0.06146572104018914,0.637037037037037,0.330188679245283,0.38888888888888884,0.4791666666666666,0.5544041450777222,0.4787234042553191,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.4375,0.9767441860465116,0.8544303797468354,0.0,0.3026004728132388,0.14074074074074072,0.4716981132075472,0.3055555555555555,0.20833333333333334,0.45595854922279955,0.8659574468085106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.625,0.6744186046511627,0.47046413502109696,0.041025641025641026,0.10573919876606631,0.3348333997079516,0.14150943396226418,0.09722222222222221,0.90625,0.6077968858154783,0.48085106382978726,0.04632426988922457,0.033736153071500505,0.04582074521651561,0.04682779456193353,0.07200402819738168,0.11127895266868076,0.3031218529707956,0.3388721047331319,1.0,1
0.22916666666666666,0.5988372093023255,0.5843881856540084,0.03979275518112047,0.023640661938534282,0.5111111111111111,0.2830188679245283,0.3611111111111111,0.7083333333333334,0.5975820379965455,0.5595744680851064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46798830029249266,1
0.125,0.2965116279069767,0.36919831223628685,0.0,0.10573919876606631,0.3348333997079516,0.22641509433962265,0.20833333333333331,0.5208333333333334,0.614853195164077,0.3829787234042553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.16666666666666666,0.8459302325581395,0.7172995780590717,0.0,0.16548463356973997,0.6074074074074073,0.16037735849056606,0.2361111111111111,0.6875,0.5129533678756459,0.7319148936170213,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.25,0.6424418604651163,0.4957805907172996,0.001282051282051282,0.1607565011820331,0.05185185185185184,0.2830188679245283,0.20833333333333331,0.9687499999999999,0.6252158894645952,0.49148936170212765,0.04632426988922457,0.033736153071500505,0.04582074521651561,0.04682779456193353,0.07200402819738168,0.11127895266868076,0.3031218529707956,0.3388721047331319,0.0,1
0.3333333333333333,0.8633720930232558,0.8312236286919831,0.5333333333333333,0.10573919876606631,0.3348333997079516,0.42452830188679247,0.125,0.6728605453350854,0.5423143350604498,0.48700825576241136,0.04632426988922457,0.033736153071500505,0.04582074521651561,0.04682779456193353,0.07200402819738168,0.11127895266868076,0.3031218529707956,0.3388721047331319,1.0,1
