Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute9,Attribute12,Attribute15,Y
0.6354515050167223,0.44507042253521123,0.25037707390648567,0.10849056603773585,0.07246376811594203,0.3333333333333333,0.43877551020408156,0.46218487394957986,1
0.26421404682274247,0.3267605633802816,0.0,0.06132075471698114,0.6231884057971014,0.34375,0.4897959183673469,0.35014005602240894,1
0.7558528428093645,0.49014084507042244,0.0,0.12735849056603776,0.5507246376811594,0.46874999999999994,0.7959183673469387,0.4761904761904763,1
0.22742474916387959,0.14084507042253522,0.0015082956259426848,0.0330188679245283,0.08695652173913043,0.2916666666666667,0.6224489795918366,0.16806722689075634,1
0.5652173913043478,0.552112676056338,0.0,0.13679245283018868,0.14492753623188406,0.3645833333333333,0.683673469387755,0.42577030812324934,1
0.5083612040133779,0.2704225352112676,0.0196078431372549,0.2358490566037736,0.0,0.34375,0.846938775510204,0.2997198879551821,1
0.7023411371237457,0.49859154929577465,0.0,0.169811320754717,0.32608695652173914,0.3854166666666667,0.7653061224489796,0.4873949579831933,1
0.7090301003344481,0.4225352112676056,0.006033182503770739,0.21226415094339623,0.13768115942028986,0.40624999999999994,0.8061224489795917,0.4061624649859944,1
0.2508361204013378,0.12112676056338026,0.0,0.04245283018867925,0.0,0.49999999999999994,0.7551020408163265,0.11204481792717089,1
0.2709030100334448,0.11830985915492956,0.011312217194570135,0.044811320754716985,0.18840579710144928,0.5416666666666666,0.8571428571428571,0.09803921568627452,1
0.23411371237458195,0.3380281690140845,0.0,0.14150943396226418,0.7318840579710145,0.34375,0.4795918367346938,0.3473389355742298,1
0.4782608695652174,0.5126760563380282,0.0,0.05660377358490566,0.5869565217391304,0.22916666666666669,0.4285714285714285,0.5378151260504201,1
0.42809364548494977,0.47042253521126753,0.0,0.07547169811320756,0.6666666666666666,0.17708333333333331,0.4591836734693877,0.47058823529411775,1
0.22742474916387959,0.14366197183098592,0.08597285067873303,0.04716981132075472,0.3115942028985507,0.3645833333333333,0.8877551020408162,0.10924369747899162,1
0.3745819397993311,0.14929577464788732,0.0,0.0660377358490566,0.0,0.4270833333333333,0.7653061224489796,0.1596638655462185,1
0.4916387959866221,0.3408450704225351,0.0015082956259426848,0.09433962264150944,0.7608695652173914,0.4791666666666667,0.7244897959183673,0.3389355742296919,1
0.9264214046822742,0.9211267605633803,0.0,0.39150943396226423,0.7753623188405797,0.4791666666666667,0.22448979591836735,0.8179271708683474,1
0.7357859531772574,0.49295774647887325,0.05429864253393665,0.26886792452830194,0.0,0.3645833333333333,0.9591836734693877,0.5070028011204483,1
0.5418060200668896,0.4140845070422535,0.0,0.0660377358490566,0.4710144927536232,0.25,0.673469387755102,0.39495798319327735,1
0.43143812709030105,0.323943661971831,0.0889894419306184,0.11320754716981132,0.34782608695652173,0.4479166666666667,0.683673469387755,0.31932773109243706,1
0.2809364548494983,0.20845070422535208,0.0,0.03773584905660378,0.4565217391304348,0.5833333333333333,0.4897959183673469,0.22689075630252106,1
0.705685618729097,0.49014084507042244,0.0,0.12735849056603776,0.06521739130434782,0.2916666666666667,0.6632653061224489,0.5210084033613446,1
0.8026755852842808,0.47887323943661975,1.0,0.2216981132075472,0.0,0.9062499999999999,0.9591836734693877,0.4817927170868348,1
0.19732441471571904,0.05633802816901409,0.0,0.0330188679245283,0.0,0.2708333333333333,0.9693877551020407,0.06162464985994401,1
0.15719063545150502,0.18028169014084502,0.04223227752639517,0.02830188679245283,0.2608695652173913,0.34375,0.673469387755102,0.1708683473389356,1
0.46153846153846145,0.2619718309859155,0.09803921568627451,0.09433962264150944,0.09420289855072464,0.3854166666666667,0.8061224489795917,0.2801120448179272,1
0.3612040133779264,0.3070422535211267,0.0,0.01886792452830189,0.2971014492753623,0.2916666666666667,0.836734693877551,0.25210084033613445,1
0.31438127090301005,0.14929577464788732,0.0,0.03773584905660378,0.028985507246376815,0.4791666666666667,0.6122448979591836,0.17366946778711487,1
0.5418060200668896,0.4225352112676056,0.04072398190045249,0.03773584905660378,0.31884057971014496,0.3125,0.693877551020408,0.4005602240896359,1
0.3946488294314381,0.19154929577464788,0.0,0.09433962264150944,0.2536231884057971,0.7708333333333333,0.6326530612244897,0.14845938375350146,1
0.2775919732441472,0.0957746478873239,0.04524886877828054,0.009433962264150945,0.4565217391304348,0.6041666666666666,0.7040816326530611,0.05882352941176475,1
0.8193979933110367,0.5859154929577465,0.5972850678733032,0.0330188679245283,0.036231884057971016,0.2708333333333333,0.7346938775510203,0.6190476190476192,1
0.8160535117056856,0.6507042253521126,0.02564102564102564,0.03773584905660378,0.42028985507246375,0.4791666666666667,0.7857142857142856,0.6498599439775911,1
